brand_id,avg_rating
242,4.548826646
750,4.313255218
389,4.068965517
783,4.147523016
482,4.078466558
458,4.349213911
783,4.395351998
793,4.288
903,4.530711207
75,3.80952381
750,4.21143617
779,3.980099502
903,3.912
467,4.418398939
79,4.249084249
596,4.37704918
848,4.101225866
171,4.314444444
389,3.985849057
783,4.478017048
230,4.112214864
971,4.652173913
458,4.075548939
903,4.455331412
95,4.5281745
389,4.45
52,4.54887218
106,4.249130435
404,4.11933395
75,4.32
66,4.21875
292,4.101225866
147,4.101225866
353,4.5
710,4.244755245
868,4.169265033
903,4.346867749
583,4.454315708
750,4.283898305
750,4.300708307
750,4.45251858
903,4.253859348
711,4.357414449
79,4.16152968
194,4.1
424,3.754237288
374,4.333333333
908,4.8
848,4.101225866
27,4.239583333
482,3.944444444
707,4.206230284
95,4.357034796
783,4.488146113
783,4.384651824
783,4.210894309
734,4.234899329
618,4.210884354
618,4.088986142
1007,4.290203327
66,4.166666667
951,4.237918216
488,4.142857143
776,3.333333333
125,3.764705882
156,3.981651376
903,3.726415094
903,4.857142857
750,4.226287846
750,3.645085344
242,4.536250816
38,3.978377362
903,4.282375852
354,4.150793651
482,4.164269624
711,4.348484848
551,4.611940299
903,4.367647059
509,4.351724138
801,4.2
804,4.173913043
72,4
282,4
544,4.101225866
353,4.101225866
230,4.262191624
750,4.314136126
95,4.19
750,4.254166667
783,4.425041186
962,4.281188119
750,4.146551724
133,4.101225866
596,4.194444444
931,4.454545455
832,4.101225866
632,4.101225866
850,4.101225866
151,4.5
292,4.101225866
555,4.101225866
863,4.101225866
750,3.936536718
171,4.132664437
903,4.241409692
715,4.473443884
783,4.296836983
903,4.016544118
171,4.18220339
968,4.313186813
509,4.435652674
971,4.609489051
444,3.893442623
353,4.715686275
79,4.456140351
424,3.8125
205,3.222222222
848,4.101225866
27,4.833333333
783,4.09666299
845,4.433611289
135,4.212701613
750,4.450539568
783,4.179491934
962,3.507042254
37,3.545089029
583,4.314308053
7,4.405844156
363,4.37244898
903,4.25
804,4.220700152
212,3.918181818
389,4.101225866
544,4.777777778
824,4.101225866
253,4.101225866
983,4.28988764
418,4.064643399
783,4.181169757
750,4.245421245
389,4.472019465
353,4.559338521
239,4.124113475
75,4.245864233
554,4.07568438
488,4.361111111
242,4.366666667
125,3.8
841,4.268413598
282,4
708,4.6
692,4.222222222
444,4.101225866
554,3.931688805
903,4.457974138
847,4.239018088
943,4.475
482,4.131245339
731,4.459921156
691,4.309139785
618,3.964879852
776,4.538461538
779,4.183922046
404,3.322683706
467,4.266037736
996,4.363636364
554,4.101225866
133,4.101225866
147,4.101225866
94,4.101225866
413,4.017882436
688,4.018858916
376,4.310897436
509,3.963239975
135,4.022900763
983,3.99862543
554,4.36461126
793,4.028571429
75,4.428571429
868,4.6
544,4.101225866
750,4.101225866
530,4.101225866
133,4.101225866
596,4.263157895
903,3.777777778
147,4.101225866
258,4.547368421
793,4.150346192
783,4.269180754
868,4.331989247
750,4.509966777
945,4.254328112
176,4.182130584
806,4.03125
776,4.3
603,4.208333333
353,4.662790698
