brand_id,ratingCount
242,1321
750,5462
389,145
783,9124
482,12260
458,6297
783,7358
793,750
903,1856
75,84
750,752
779,1005
903,125
467,4522
79,273
596,61
848,184.4794104
171,900
389,636
783,4458
230,2718
971,23
458,2687
903,347
95,11553
389,580
52,133
106,2300
404,1081
75,75
66,64
292,184.4794104
147,184.4794104
353,10
710,572
868,449
903,1724
583,5144
750,472
750,3106
750,1211
903,583
711,789
79,1752
194,180
424,118
374,9
908,5
848,184.4794104
27,96
482,18
707,2536
95,1983
783,19656
783,2111
783,6150
734,149
618,1176
618,4113
1007,541
66,48
951,269
488,56
776,12
125,17
156,109
903,106
903,7
750,13938
750,5097
242,1531
38,21274
903,1027
354,3024
482,5771
711,396
551,67
903,272
509,290
801,15
804,23
72,58
282,15
544,184.4794104
353,184.4794104
230,3486
750,191
95,2200
750,240
783,607
962,505
750,116
133,184.4794104
596,36
931,11
832,184.4794104
632,184.4794104
850,184.4794104
151,42
292,184.4794104
555,184.4794104
863,184.4794104
750,1103
171,897
903,1135
715,4161
783,411
903,544
171,236
968,182
509,8695
971,274
444,1464
353,102
79,114
424,16
205,9
848,184.4794104
27,6
783,7252
845,1559
135,992
750,1112
783,10786
962,71
37,1741
583,1279
7,308
363,196
903,64
804,657
212,220
389,184.4794104
544,9
824,184.4794104
253,184.4794104
983,1335
418,6590
783,701
750,273
389,1644
353,1028
239,282
75,7012
554,621
488,108
242,30
125,75
841,2824
282,14
708,5
692,9
444,184.4794104
554,1581
903,1856
847,774
943,160
482,2682
731,761
691,1488
618,1082
776,13
779,821
404,313
467,1590
996,143
554,184.4794104
133,184.4794104
147,184.4794104
94,184.4794104
413,5648
688,4189
376,312
509,12568
135,393
983,1455
554,373
793,70
75,35
868,10
544,184.4794104
750,184.4794104
530,184.4794104
133,184.4794104
596,19
903,36
147,184.4794104
258,190
793,1011
783,3845
868,744
750,602
945,2426
176,291
806,96
776,10
603,72
353,86
212,28
353,122
943,184.4794104
931,172
368,184.4794104
46,5
783,419
776,738
845,384
841,2353
171,392
242,232
583,772
829,227
38,1268
772,5
554,184.4794104
890,12
287,51
1014,184.4794104
331,184.4794104
147,184.4794104
698,184.4794104
750,789
962,2676
750,222
783,2699
962,496
75,882
531,18
363,194
239,11
125,79
444,73
353,145
776,27
705,184.4794104
544,184.4794104
596,33
488,184.4794104
750,2706
903,1589
903,829
903,374
75,1821
376,314
50,90
75,904
133,8
776,3
783,135
928,62
353,184.4794104
133,184.4794104
812,184.4794104
660,184.4794104
983,184.4794104
783,273
239,192
793,459
962,771
75,77
868,33
779,1708
806,27
554,184.4794104
671,449
72,23
353,80
793,256
125,42
41,184.4794104
806,184.4794104
903,184.4794104
66,747
760,124
131,365
783,4972
141,43
847,210
554,85
945,1811
75,227
931,8
958,184.4794104
353,92
78,31
13,19
903,184.4794104
555,184.4794104
885,184.4794104
131,1871
38,16219
750,886
233,271
956,268
688,1371
681,124
544,91
72,25
983,36
776,184.4794104
70,11
147,184.4794104
46,184.4794104
147,184.4794104
784,184.4794104
1002,184.4794104
731,933
79,691
750,337
376,276
783,203
783,1885
75,1086
514,74
750,522
544,184.4794104
583,145
133,184.4794104
242,184.4794104
931,184.4794104
216,184.4794104
353,184.4794104
285,184.4794104
131,315
653,1923
583,520
845,2333
783,459
579,45
353,652
554,184.4794104
444,313
750,5
706,184.4794104
674,184.4794104
356,184.4794104
398,184.4794104
903,184.4794104
169,184.4794104
488,184.4794104
783,3026
363,399
363,10
583,935
509,544
555,29
604,142
750,184.4794104
50,10
841,16
353,184.4794104
596,184.4794104
473,184.4794104
353,184.4794104
848,184.4794104
287,184.4794104
597,184.4794104
131,344
688,1073
579,3750
242,118
750,247
420,1576
374,153
903,49
75,11
841,28
133,184.4794104
596,184.4794104
147,184.4794104
931,184.4794104
541,184.4794104
706,184.4794104
104,184.4794104
801,898
750,845
365,498
750,107
688,287
509,67
783,181
783,15
239,18
374,10
444,242
374,9
314,184.4794104
353,30
627,5
488,184.4794104
147,184.4794104
75,1056
903,202
903,589
750,214
750,323
397,1717
734,5
389,35
903,188
710,76
130,7
931,5
832,184.4794104
544,184.4794104
147,184.4794104
353,184.4794104
84,184.4794104
903,402
787,12
750,592
125,658
125,167
363,12
75,273
583,165
711,81
250,184.4794104
776,184.4794104
544,184.4794104
287,184.4794104
502,184.4794104
27,13
555,184.4794104
868,393
903,3339
551,36
750,3406
726,1694
75,60
726,8
554,184.4794104
389,17
179,184.4794104
458,8
962,65
596,36
313,184.4794104
186,184.4794104
555,184.4794104
907,184.4794104
171,409
52,64
708,51
945,712
673,113
408,2391
125,222
135,79
133,184.4794104
95,54
779,249
353,25
458,9
309,24
964,184.4794104
848,184.4794104
444,184.4794104
750,1925
1007,52
618,395
458,5069
962,320
504,119
509,1243
783,78
554,184.4794104
706,27
50,117
374,7
783,18
586,184.4794104
832,184.4794104
107,184.4794104
903,496
903,379
750,133
663,33
95,2526
544,184.4794104
618,1247
212,18
583,230
173,184.4794104
962,99
776,184.4794104
389,8
309,184.4794104
353,19
331,184.4794104
604,184.4794104
133,30
845,105
903,134
868,14
799,198
554,184.4794104
779,346
439,16
750,184.4794104
810,698
353,19
279,184.4794104
960,20
46,184.4794104
424,184.4794104
854,184.4794104
543,184.4794104
903,577
787,226
397,7031
750,633
799,70
7,83
931,184.4794104
691,36
750,14
583,77
242,184.4794104
489,184.4794104
328,184.4794104
572,184.4794104
832,184.4794104
848,184.4794104
426,184.4794104
903,346
458,32
75,1431
365,920
868,26
75,77
488,253
3,18
544,184.4794104
799,28
544,12
675,184.4794104
313,184.4794104
841,184.4794104
239,184.4794104
287,7
133,184.4794104
439,372
230,1964
354,9
77,685
962,345
903,779
554,32
398,28
75,228
389,40
151,184.4794104
75,184.4794104
313,184.4794104
226,184.4794104
98,184.4794104
285,184.4794104
958,184.4794104
133,49
214,2801
845,70
971,65
416,184.4794104
783,218
363,983
945,132
587,184.4794104
962,54
142,184.4794104
507,184.4794104
353,28
846,184.4794104
706,184.4794104
207,184.4794104
1002,184.4794104
787,241
131,470
38,6504
750,752
688,204
279,142
353,24
832,184.4794104
374,8
583,193
544,184.4794104
356,184.4794104
125,9
427,184.4794104
412,184.4794104
887,184.4794104
832,184.4794104
897,781
66,250
